,Date,Year,Type,Country,Area,Location
5378,01-Nov-1896,1896,Unprovoked,AUSTRALIA,Western Australia,Esperance
5379, 11-Sep-1896,1896,Unprovoked,SRI LANKA,,
5380,25-Jul-1896,1896,Unprovoked,USA,Hawaii,"Kahului, Maui"
5381, 21-Jun-1896,1896,Unprovoked,USA,South Carolina,Charleston
5382, 11-Jan-1896,1896,Unprovoked,AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney"
5383,1896,1896,Unprovoked,USA,Florida,
5384,1896,1896,Unprovoked,HAITI,Off Cape Haitien,
5385,09-Dec-1895,1895,Unprovoked,AUSTRALIA,New South Wales,"West Balmain, Sydney"
5386, 21-Nov-1895,1895,Unprovoked,BARBADOS,St Michael Parish,Bridgetown
5387,16-Nov-1895,1895,Unprovoked,AUSTRALIA,New South Wales,Jervis Bay 
5388,18-Sep-1895,1895,Sea Disaster,CUBA,Havana Province,Havana Harbor
5389, 14-Sep-1895,1895,Unprovoked,YEMEN ,Aden,
5390,Sep-1895,1895,Provoked,USA,North Carolina,"Near the mouth of the Cape Fear River, Brunswick County"
