,Date,Year,Type,Country,Area,Location
2591,09-Jul-86,1986,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County"
2592,Jul-86,1986,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,LaMercy
2593,18-May-86,1986,Unprovoked,AUSTRALIA,New South Wales,"North Head, Sydney Harbour"
2594,15-May-86,1986,Unprovoked,SOUTH KOREA,,
2595,20-Apr-86,1986,Unprovoked,USA,Hawaii,"Kaliiwi, Kauai"
2596,Apr-86,1986,Unprovoked,SPAIN,Catalonia,Lloret-de-Mar
2597,18-Mar-86,1986,Unprovoked,SPAIN,Cádiz,Tarifa 
2598,15-Mar-86,1986,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban"
2599,05-Mar-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"The Fence, King's Beach, Port Elizabeth"
2600,18-Feb-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London
2601,17-Feb-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Cape Recife
2602,07-Feb-86,1986,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth"
2603,06-Feb-86,1986,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston
2604,01-Feb-86,1986,Unprovoked,AUSTRALIA,Victoria,Jan Juc Beach
2605,12-Jan-86,1986,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County"
2606,1986,1986,Unprovoked,USA,California,"Linda Mar Beach, Pedro Point, San Mateo County"
2607,22-Dec-85,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach
2608,10-Dec-85,1985,Unprovoked,USA,North Carolina,New Hanover County
2609,11-Nov-85,1985,Provoked,AUSTRALIA,Queensland,Gladstone
2610,05-Nov-85,1985,Boat,USA,California,"Southeast Farallon Island, Farallon Islands"
2611,03-Nov-85,1985,Provoked,USA,California,5 miles south of Redondo Beach
2612,24-Oct-85,1985,Unprovoked,SOUTH AFRICA,Eastern Cape Province,East London
2613,22-Oct-85,1985,Unprovoked,USA,California,"Point Conception, Santa Barbara County"
2614,18-Oct-85,1985,Unprovoked,USA,Hawaii,"Little Glass Shacks, Princeville, Kaua'i"
2615,12-Oct-85,1985,Unprovoked,USA,Hawaii,"Barbers Point, O'ahu"
2616,  05-Oct-1985,1985,Provoked,USA,Alabama,"Gulf Shores, Baldwin County"
2617,28-Sep-85,1985,Unprovoked,USA,California,"Elephant Rock near Tomales Point, Marin County"
2618,08-Sep-85,1985,Invalid,SOUTH AFRICA,KwaZulu-Natal,T.O. Strand
2619,08-Sep-85,1985,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County"
2620,05-Sep-85,1985,Invalid,USA,Florida,"Fort Pierce Inlet, St Lucie County"
2621,22-Aug-85,1985,Unprovoked,USA,South Carolina,"Palmetto Dunes, Hilton Head, Beaufort County"
2622,20-Aug-85,1985,Invalid,USA,Florida,"New Smyrna Beach, Volusia County"
2623,17-Aug-85,1985,Invalid,USA,Florida,"Bayport, Hernando County"
2624,25-Jul-85,1985,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
2625,25-Jul-85,1985,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
2626,21-Jul-85,1985,Boat,USA,California,"Off Shelter Cover (between Fort Bragg & Eureka), Humboldt County"
2627,19-Jul-85,1985,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County"
2628,Mid Jul-1985 or mid Jul-1986,1985,Unprovoked,ITALY,Sicily,Punta Secca
2629,26-May-85,1985,Unprovoked,USA,California,"Long Beach, Los Angeles County"
2630,08-May-85,1985,Provoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti
2631,16-Mar-85,1985,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County"
2632,03-Mar-85,1985,Unprovoked,AUSTRALIA,South Australia,"Wisemans Beach, Peake Bay, Port Lincoln"
2633,18-Feb-85,1985,Unprovoked,USA,California,"San Miguel Island, Santa Barbara County"
2634,03-Feb-85,1985,Unprovoked,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County"
2635,27-Jan-85,1985,Unprovoked,SOUTH AFRICA,Western Cape Province,Struisbaai
2636,18-Jan-85,1985,Invalid,SOUTH AFRICA,KwaZulu-Natal,Umzimkulu
2637,17-Jan-85,1985,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umbogintwini
2638,16-Jan-85,1985,Boat,NEW ZEALAND,South Island,Christchurch
2639,04-Jan-85,1985,Unprovoked,SOUTH AFRICA,Western Cape Province,"Buffels Bay, False Bay"
2640,Jan-85,1985,Unprovoked,NEW CALEDONIA,South Province,Amedee Island
2641,Jan-85,1985,Provoked,SOUTH AFRICA,KwaZulu-Natal,Salt Rock
2642,1985,1985,Unprovoked,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula"
2643,1985,1985,Unprovoked,IRAN,,"Ramin, near Ahvaz"
2644,03-Dec-84,1984,Boat,ITALY,Tyrrhenian Sea,"Marciana Marina, Isola d'Elba"
2645,30-Nov-84,1984,Unprovoked,AUSTRALIA,Queensland,1 km off Black's Beach
2646,11-Nov-84,1984,Unprovoked,USA,Florida,"Jupiter Island Beach, Martin County"
2647,04-Nov-84,1984,Provoked,USA,Florida,"Fowey Rock, Key Biscayne"
2648,21-Oct-84,1984,Invalid,USA,Florida,"Wabasso Beach, Indian River County"
2649,21-Oct-84,1984,Unprovoked,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County"
2650,17-Oct-84,1984,Invalid,USA,Florida,"Boynton Beach, Palm Beach County"
2651,14-Oct-84,1984,Unprovoked,USA,Florida,"Bob Graham Beach, Martin County"
2652,30-Sep-84,1984,Unprovoked,USA,Oregon,"""Turnaround"", Cape Kiwanda, Tillamook County"
2653,30-Sep-84,1984,Unprovoked,USA,California,"Tomales Point, Marin County"
2654,23-Sep-84,1984,Unprovoked,USA,Florida,Volusia County
2655,22-Sep-84,1984,Unprovoked,USA,Florida,
2656,22-Sep-84,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County"
2657,19-Sep-84,1984,Unprovoked,USA,Florida,Volusia County
2658,17-Sep-84,1984,Unprovoked,USA,California,"Mission Beach, San Diego County"
2659,15-Sep-84,1984,Unprovoked,USA,California,"Pigeon Point, San Mateo County"
2660,11-Sep-84,1984,Provoked,MEXICO,Baja California,Guadalupe Island
2661,24-Aug-84,1984,Invalid,USA,Florida,"Off Crystal River, Citrus County"
2662,07-Aug-84,1984,Unprovoked,INDONESIA,,Bali
2663,24-Jul-84,1984,Unprovoked,USA,Texas,South Padre Island
2665,22-Jul-84,1984,Invalid,SOUTH AFRICA,Western Cape Province,Cape Point
2666,01-Jul-84,1984,Unprovoked,USA,Florida,
2667,Jul-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana
2668,15-Jun-84,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay"
2669,03-Jun-84,1984,Unprovoked,USA,Hawaii,"Kane'ohe Bay, O'ahu"
2670,03-Jun-84,1984,Unprovoked,VANUATU,Malampa Province,"Atchin Island, off Malakula"
2671,31-May-84,1984,Unprovoked,SOUTH AFRICA,Western Cape Province,Arniston
2672,17-Mar-84,1984,Invalid,SOMALIA,,
2673,14-Mar-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti
2674,10-Mar-84,1984,Boat,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth
2675,01-Mar-84,1984,Unprovoked,AUSTRALIA,Western Australia,Coral Bay
2676,18-Feb-84,1984,Provoked,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffreys Bay"
2677,17-Feb-84,1984,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban"
2678,12-Feb-84,1984,Invalid,SOUTH AFRICA,Eastern Cape Province,St. Georges Strand
2679,11-Feb-84,1984,Unprovoked,AUSTRALIA,Queensland,Derwent Island
2680,05-Jan-84,1984,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred
2681,04-Jan-84,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal
2682,1984,1984,Provoked,USA,California,San Francisco
2683,1984,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County"
2684,30-Dec-83,1983,Invalid,GREECE,Andikira Fokithes,
2685,25-Dec-83,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County"
2686,24-Dec-83,1983,Unprovoked,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island"
2687,22-Dec-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Great Fish River
2688,21-Dec-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon
2689,07-Dec-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,LaMercy
2690,21-Nov-83,1983,Sea Disaster,PHILIPPINES,Central Philippines,
2691,      10-Nov-1983,1983,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County"
2692,10-Nov-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Tongaat
2693,17-Oct-83,1983,Unprovoked,USA,Florida,"Stuart Beach, Martin County"
2694,13-Oct-83,1983,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
2695,04-Sep-83,1983,Unprovoked,USA,Florida,"Off Lake Worth, Palm Beach County"
2696,20-Aug-83,1983,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County"
2697,20-Aug-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay"
2698,15-Aug-83,1983,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County"
2699,13-Aug-83,1983,Provoked,USA,Florida,"Riviera Beach, Palm Beach County"
2700,13-Aug-83,1983,Unprovoked,USA,Florida,"6 miles south of Boca Chica Key, Monroe County "
2701,06-Aug-83,1983,Boat,USA,Rhode Island,
2702,26-Jul-83,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville"
2703,25-Jul-83,1983,Sea Disaster,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville"
2705,15-Jul-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis"
2706,12-Jul-83,1983,Unprovoked,USA,Florida,"Caloosahatchee River, Lee County"
2707,08-Jul-83,1983,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay
2708,05-Jul-83,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County"
2709,29-Jun-83,1983,Unprovoked,USA,Florida,"Off 12th Street, Miami Beach"
2710,22-Jun-83,1983,Unprovoked,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island"
2711,20-Jun-83,1983,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County"
2712,15-Jun-83,1983,Unprovoked,BAHAMAS,,Carter Cay
2713,15-Jun-83,1983,Invalid,ITALY,Northwest Italy,Riomaggiore (Ligura)
2714,Jun-83,1983,Unprovoked,BAHAMAS,Berry Islands,Whale Cay
2715,31-May-83,1983,Unprovoked,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County"
2716,24-May-83,1983,Unprovoked,USA,Florida," Riviera Beach, Palm Beach County"
2717,21-May-83,1983,Unprovoked,USA,Florida,"Haulover Inlet, Dade County"
2718,19-Apr-83,1983,Unprovoked,USA,Florida,
2719,12-Apr-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay
2720,02-Apr-83,1983,Unprovoked,USA,Florida,"Lake Worth Beach, Palm Beach County"
2721,02-Apr-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mpande
2722,30-Mar-83,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh
2723,22-Mar-83,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon
2724,10-Mar-83,1983,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County"
2725,Mar-83,1983,Unprovoked,NEW CALEDONIA,Loyalty Islands,"We, Lifou"
2726,20-Feb-83,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini
2727,24-Jan-83,1983,Provoked,USA,South Carolina,60 miles southeast of Beaufort
2728,15-Jan-83,1983,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti
2729,10-Jan-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg
2730,08-Jan-83,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Holbaai
2731,Ca. 1983,1983,Unprovoked,,English Channel,
2732,1983,1983,Unprovoked,VANUATU,Malampa Province,"Off the beach opposite Atchin Island, Malakula"
2733,1983,1983,Provoked,USA,North & South Carolina,
2734,Nov-82,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County"
2735,13-Oct-82,1982,Unprovoked,USA,Florida,North Dade- Interama area of Biscayne Bay
2736,30-Sep-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London"
2738,27-Sep-82,1982,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County"
2739,25-Sep-82,1982,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County"
2740,19-Sep-82,1982,Unprovoked,USA,California,"Bear Harbor, Mendocino County"
2741,04-Sep-82,1982,Invalid,USA,Florida,"Hollywood Beach, Broward County"
2742,29-Aug-82,1982,Unprovoked,JAPAN,Kumamoto Prefecture,Ariake Bay
2743,29-Aug-82,1982,Invalid,USA,California,"Morro Rock, Morro Bay, San Obispo County"
2744,29-Aug-82,1982,Unprovoked,SOUTH AFRICA,Western Cape Province,Langebaan
2745, Aug-1982,1982,Unprovoked,TUNISIA,,"Skanes, near Monaster"
2746,31-Jul-82,1982,Invalid,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti
2747,24-Jul-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London"
2748,24-Jul-82,1982,Unprovoked,USA,California,"Point Buchon, San Luis Obispo County"
2749,19-Jul-82,1982,Unprovoked,USA,Florida,"Stuart Beach, Martin County "
2750, 11-Jul-1982,1982,Invalid,USA,California,"Malibu, Los Angeles County"
2751,01-Jul-82,1982,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
2752,Jul-82,1982,Unprovoked,NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines"
2753,29-Jun-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay
2754,26-Jun-82,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County"
2755,26-Jun-82,1982,Unprovoked,BAHAMAS,Andros Islands,North Rat Cay Reef
2756,  25-Jun-1982,1982,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County"
2757,13-Jun-82,1982,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui"
2758,May-82,1982,Invalid,USA,South Carolina,"Daws Island, Broad River (near Beaufort)"
2759,10-Mar-82,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County"
2760,07-Mar-82,1982,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay"
2761,Mar-82,1982,Unprovoked,NEW CALEDONIA,,
2762,28-Feb-82,1982,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay
2763,27-Feb-82,1982,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County"
2764,17-Feb-82,1982,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay
2765,14-Feb-82,1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu"
2767,13-Feb-82,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County"
2768,07-Feb-82,1982,Unprovoked,USA,California,"Stillwater Cove, Sonoma County"
2769,07-Feb-82,1982,Unprovoked,USA,Florida,Elliot Key
2770,29-Jan-82,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpekeweni
2771,1982,1982,Boat,ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba"
2772,1982,1982,Boat,ITALY,Tyrrhenian Sea,"Biodola, Isola d'Elba"
2773,1982,1982,Unprovoked,TUNISIA,Biserta,Bechateur
2774,19-Dec-81,1981,Unprovoked,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula"
2775,13-Dec-81,1981,Unprovoked,AUSTRALIA,Queensland,Green Island
2776,13-Dec-81,1981,Unprovoked,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu"
2777,30-Nov-81,1981,Unprovoked,REUNION,Saint-Philippe,Vicendo
2778,19-Oct-81,1981,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay
2779,09-Nov-81,1981,Unprovoked,USA,Hawaii,"La'au Point, Moloka'i"
2780,19-Oct-81,1981,Unprovoked,USA,Florida,"Jupiter Island, Brevard County"
2781,17-Oct-81,1981,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County"
2782,16-Oct-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County"
2783,01-Oct-81,1981,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County"
2784,28-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County"
2785,27-Sep-81,1981,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County"
2786,15-Sep-81,1981,Unprovoked,USA,Florida,"Tampa Bay, Manatee County"
2787,03-Sep-81,1981,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County"
2788,03-Sep-81,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County"
2789,29-Aug-81,1981,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
2790,24-Aug-81,1981,Provoked,USA,Florida,Gulf Island National Seashore Park
2791,24-Aug-81,1981,Invalid,USA,Hawaii,"Keaukaha, Hilo, Hawai'i"
2792,10-Aug-81,1981,Unprovoked,USA,Florida,"Marathon, Monroe County"
2793,10-Aug-81,1981,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County"
2794,07-Aug-81,1981,Unprovoked,BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island "
2795,20-Jul-81,1981,Unprovoked,USA,Florida,"St. Petersburg Beach, Pinellas County"
2796,18-Jul-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon
2797,07-Jul-81,1981,Unprovoked,USA,Florida,Carter Cay
2798,01-Jul-81,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Clansthal
2799, 15-Jun-1981,1981,Boat,ENGLAND,,Isle of Wight
2800,12-Jun-81,1981,Invalid,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i"
2801,24-May-81,1981,Unprovoked,USA,Hawaii,"Ha'ena Beach Park, Kaua'i"
2802,23-May-81,1981,Unprovoked,SOUTH KOREA,Chungnam,Wae-yeon Island
2803,20-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon
2804,19-May-81,1981,Unprovoked,USA,Florida,"Sands Cut, Elliot Key"
2805,16-May-81,1981,Unprovoked,USA,Florida,"Jacksonville, Duval County"
2806,10-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kings Beach
2807,07-May-81,1981,Provoked,NAMIBIA,Eronogo Region,Walvis Bay
2808,08-Mar-81,1981,Sea Disaster,BERMUDA,,
2809,05-May-81,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay
2810,25-Mar-81,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County"
2811,24-Mar-81,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County"
2812,04-Mar-81,1981,Unprovoked,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo"
2813,Mar-81,1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio
2814,19-Feb-81,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni
2815,16-Feb-81,1981,Unprovoked,AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle"
2816,07-Feb-81,1981,Unprovoked,AUSTRALIA,Western Australia,"Parker's Point, Rottnest Island"
2817,02-Feb-81,1981,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County"
2818,Feb-81,1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio
2819,30-Jan-81,1981,Unprovoked,USA,Florida,20 miles from Mayport
2820,01-Jan-81,1981,Invalid,SOUTH AFRICA,KwaZulu-Natal,Widenham
2821,1981,1981,Unprovoked,AUSTRALIA,New South Wales,Byron Bay
2822,Summer of 1981,1981,Unprovoked,GREECE,Pagasitikos Gulf,
2823,12-30-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon
2824,26-Dec-80,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth
2825,24-Nov-80,1980,Unprovoked,REUNION,Grand'Anse,Petite-Ile
2826,18-Nov-80,1980,Unprovoked,AUSTRALIA,Western Australia,Lancelin
2827,17-Nov-80,1980,Invalid,SOUTH AFRICA,KwaZulu-Natal,Mnini
2828,11-Nov-80,1980,Unprovoked,BRAZIL,Pernambuco,Piedade
2829,27-Oct-80,1980,Unprovoked,USA,Oregon,Off Umpqua River
2830,17-Oct-80,1980,Unprovoked,USA,California,"Moonstone Beach, Humboldt County"
2831, 22-Aug-1980,1980,Unprovoked,MEXICO,,
2832,10-Aug-80,1980,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County"
2833,04-Aug-80,1980,Unprovoked,USA,Hawaii,"Puamana, Lahaina, Maui"
2834,26-Jul-80,1980,Unprovoked,SPAIN,Canary Islands,"San Juan de la Rambla, Tenerife"
2835,27-Jul-80,1980,Unprovoked,USA,New Jersey,"Ocean City, Cape May County"
2836,23-Jul-80,1980,Unprovoked,USA,Delaware,Dewey Beach
2837, Jul-1980,1980,Unprovoked,USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County"
2838,Early Jul-1980,1980,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County"
2839,26-Jun-80,1980,Provoked,USA,California,"Off San Clemente Island, Los Angeles County"
2840,15-May-80,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fullers Bay
2841,25-Apr-80,1980,Provoked,JAMAICA,St. Mary's Parish,"Priestman's River area, East Portland"
2842,22-Apr-80,1980,Sea Disaster,PHILIPPINES,Romblon Province,"Maestre de Campo Island, 120 miles south of Manila"
2843,Apr-80,1980,Unprovoked,MEXICO,Sinaloa,Mazatlán
2844,29-Mar-80,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti
2845,28-Mar-80,1980,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero"
2846,15-Mar-80,1980,Sea Disaster,PHILIPPINES,,250 miles southwest of Manila
2847,11-Mar-80,1980,Provoked,SOUTH AFRICA,Western Cape Province,Velddrif
2848,31-Jan-80,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Ballito
2849,25-Jan-80,1980,Unprovoked,KENYA,Lamu Archipelago,South of Lamu Island
2850,15-Jan-80,1980,Provoked,SOUTH AFRICA,KwaZulu-Natal,Ansteys
2851,13-Jan-80,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sardinia Bay
2852,10-Jan-80,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kings Beach
2853,05-Jan-80,1980,Unprovoked,CHILE,Los Vilos,"Punta Negra, Pichidangui"
2854,Summer 1980,1980,Provoked,NORTH ATLANTIC OCEAN,,Onboard swordfish trawler
2855,1980s ,1980,Invalid,GREECE,Island of Kos,
2856,1980,1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Bonza Bay
2857,1980s ,1980,Unprovoked,TONGA,Ha'api,Ha'ano Island
2858,21-Dec-79,1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kenton-on-Sea
2859,05-Dec-79,1979,Invalid,PORTUGAL,Madeira Islands,"Sao Jorge, Madeira Island"
2860, 01-Dec-1979,1979,Unprovoked,SOUTH CHINA SEA,,
2861,27-Nov-79,1979,Unprovoked,USA,Oregon,"Haystack Rock, Cannon Beach, Clatsop County"
2862,12-Nov-79,1979,Provoked,SOUTH AFRICA,Western Cape Province,Macassar
2863,22-Oct-79,1979,Provoked,SOUTH AFRICA,Eastern Cape Province,Algoa Bay
2864,14-Sep-79,1979,Unprovoked,AUSTRALIA,New South Wales,Byron Bay
2865,28-Aug-79,1979,Unprovoked,HONG KONG,,Mirs Bay
2866,26-Aug-79,1979,Unprovoked,HONG KONG,Ho Ha Wan Marine Park,
2867,05-Aug-79,1979,Unprovoked,USA,Florida,"Daytona Beach, Volusia County"
2868,03-Aug-79,1979,Unprovoked,THAILAND,Southern Thailand,
2869,19-Jun-79,1979,Sea Disaster,USA,Florida,10 miles off Cape Canaveral
2870,27-May-79,1979,Invalid,USA,Florida,"Fort Walton Beach, Okaloosa County"
2871,05-May-79,1979,Provoked,SOUTH AFRICA,Western Cape Province,"Hangklip, False Bay"
2872,03-May-79,1979,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mbibi
2873,May-79,1979,Unprovoked,NEW CALEDONIA,North Province,Ile Yandé (between Poum and Bélep)
2874,May-79,1979,Unprovoked,NEW CALEDONIA,North Province,Balade
2875,08-Apr-79,1979,Unprovoked,USA,Florida,"Public Beach (Carlin Park), Jupiter, Palm Beach County"
2876,08-Apr-79,1979,Unprovoked,USA,Florida,"Municipal Beach, Boyton Beach, Palm Beach County"
2877,24-Mar-79,1979,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County"
2878,11-Mar-79,1979,Unprovoked,USA,California,"Ano Nuevo Island, San Mateo, County"
2879,01-Mar-79,1979,Boat,SOUTH AFRICA,Western Cape Province,Seal Island
2880,Mar-79,1979,Unprovoked,NEW CALEDONIA,Grand Terre,"Five Mile Beach, I'le Ouen"
2881,21-Feb-79,1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred
2882,1979,1979,Unprovoked,USA,Hawaii,"South Kohala, Hawai'i"
2883,29-Dec-78,1978,Unprovoked,AUSTRALIA,Queensland,Bribie Island
2884,12-Dec-78,1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana
2885,26-Nov-78,1978,Unprovoked,USA,Hawaii,"Ewa, O'ahu"
2886,23-Nov-78,1978,Unprovoked,USA,Florida,"Jupiter, Palm Beach County"
2887,21-Oct-78,1978,Invalid,SOUTH AFRICA,KwaZulu-Natal,"Fishing camp, St. Lucia Estuary"
2888,27-Sep-78,1978,Unprovoked,SOUTH AFRICA,Western Cape Province,"Miller's Point, False Bay"
2889,16-Sep-78,1978,Unprovoked,ITALY,Tyrrhenian Sea,Capo d'Anzio
2890, 02-Sep-1978,1978,Unprovoked,AUSTRALIA,Tasmania,"Cape Pillar, Storm Bay"
2891,05-Aug-78,1978,Unprovoked,USA,California,"Pajaro Dunes, Santa Cruz County"
2892, 01-Aug-1978,1978,Unprovoked,USA,Florida,Florida Straits
2893,27-Jul-78,1978,Sea Disaster,USA,South Carolina,
2894,19-Jul-78,1978,Provoked,USA,California,"Newport Beach, Orange County"
2895,21-Jun-78,1978,Unprovoked,USA,Florida,"South of Neptune Beach, Duval County"
2896,21-Jun-78,1978,Unprovoked,USA,Florida,"Neptune Beach, Duval County"
2897,07-Jun-78,1978,Invalid,ITALY,Golfo de Venezia,Acqua alta research platform
2898,02-Apr-78,1978,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Enewetak Atoll
